City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Bolonha,Itália,1810.0,1007.5,TAP AIR PORTUGAL,BLQ,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-BLQ/2023-06-04/2023-06-08/
Bangalore,Índia,1335.0,2116.5,Lufthansa,BLR,2023-06-08,2023-06-14,http://kayak.com/flights/EWR-BLR/2023-06-08/2023-06-14/
Guadalajara,México,2092.0,727.43,Alaska Airlines,GDL,2023-06-07,2023-06-12,http://kayak.com/flights/EWR-GDL/2023-06-07/2023-06-12/
"Washington, D.C.",Estados Unidos,484.0,380.64,JetBlue,DCA,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-DCA/2023-06-04/2023-06-08/
Birmingham,Reino Unido,1935.0,861.83,Scandinavian Airlines,BHX,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-BHX/2023-06-19/2023-06-26/
Chennai,Índia,2105.0,1429.49,Emirates,MAA,2023-06-08,2023-06-14,http://kayak.com/flights/EWR-MAA/2023-06-08/2023-06-14/
Casablanca,Marrocos,1015.0,903.18,Delta,CMN,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-CMN/2023-06-06/2023-06-13/
Tallin,Estónia,775.0,1091.15,Scandinavian Airlines,TLL,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-TLL/2023-06-20/2023-06-27/
Londres,Reino Unido,670.0,647.55,Icelandair,LGW,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-LGW/2023-06-06/2023-06-13/
Florença,Itália,1195.0,1107.12,Várias companhias aéreas,FLR,2023-06-10,2023-06-15,http://kayak.com/flights/EWR-FLR/2023-06-10/2023-06-15/
Palermo,Itália,1025.0,923.86,Várias companhias aéreas,PMO,2023-06-11,2023-06-17,http://kayak.com/flights/EWR-PMO/2023-06-11/2023-06-17/
Colombo,Sri Lanka,4150.0,2897.5,Singapore Airlines,CMB,2023-06-24,2023-06-30,http://kayak.com/flights/EWR-CMB/2023-06-24/2023-06-30/
Jacksonville,Estados Unidos,277.0,261.28,United Airlines,JAX,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-JAX/2023-06-21/2023-06-28/
Cidade do Panamá,Panamá,317.0,780.06,United Airlines,PTY,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-PTY/2023-06-17/2023-06-24/
Indianápolis,Estados Unidos,264.0,186.09,United Airlines,IND,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-IND/2023-06-08/2023-06-12/
Pittsburgh,Estados Unidos,83.0,156.96,Spirit Airlines,PIT,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-PIT/2023-06-08/2023-06-13/
Ibiza,Espanha,1515.0,1059.19,TAP AIR PORTUGAL,IBZ,2023-06-14,2023-06-19,http://kayak.com/flights/EWR-IBZ/2023-06-14/2023-06-19/
Hanover,Alemanha,1660.0,1285.69,Turkish Airlines,HAJ,2023-06-20,2023-06-25,http://kayak.com/flights/EWR-HAJ/2023-06-20/2023-06-25/
Cartagena,Colômbia,1789.0,484.02,Várias companhias aéreas,CTG,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-CTG/2023-06-08/2023-06-12/
São Salvador,El Salvador,969.0,485.9,American Airlines,SAL,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-SAL/2023-06-03/2023-06-10/
Split,Croácia,805.0,1002.8,Várias companhias aéreas,SPU,2023-06-17,2023-06-23,http://kayak.com/flights/EWR-SPU/2023-06-17/2023-06-23/
Lárnaca,Chipre,3370.0,1477.42,Emirates,LCA,2023-06-15,2023-06-20,http://kayak.com/flights/EWR-LCA/2023-06-15/2023-06-20/
Túnis,Tunísia,1415.0,1179.49,Lufthansa,TUN,2023-06-11,2023-06-15,http://kayak.com/flights/EWR-TUN/2023-06-11/2023-06-15/
Hanói,Vietname,3625.0,1563.88,Várias companhias aéreas,HAN,2023-06-11,2023-06-16,http://kayak.com/flights/EWR-HAN/2023-06-11/2023-06-16/
Funchal,Portugal,1270.0,1016.9,TAP AIR PORTUGAL,FNC,2023-06-14,2023-06-20,http://kayak.com/flights/EWR-FNC/2023-06-14/2023-06-20/
San Antonio,Estados Unidos,856.0,378.76,United Airlines,SAT,2023-06-14,2023-06-18,http://kayak.com/flights/EWR-SAT/2023-06-14/2023-06-18/
West Palm Beach,Estados Unidos,173.0,280.07,JetBlue,PBI,2023-06-24,2023-06-30,http://kayak.com/flights/EWR-PBI/2023-06-24/2023-06-30/
Quito,Equador,1686.0,503.75,Várias companhias aéreas,UIO,2023-06-01,2023-06-07,http://kayak.com/flights/EWR-UIO/2023-06-01/2023-06-07/
Heraclião,Grécia,1815.0,1428.55,SWISS,HER,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-HER/2023-06-03/2023-06-10/
Cincinnati,Estados Unidos,128.0,190.79,United Airlines,CVG,2023-06-21,2023-06-25,http://kayak.com/flights/EWR-CVG/2023-06-21/2023-06-25/
Manágua,Nicarágua,619.0,710.52,American Airlines,MGA,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-MGA/2023-06-08/2023-06-15/
Santa Cruz de Tenerife,Espanha,1095.0,1178.55,Várias companhias aéreas,TCI,2023-06-01,2023-06-07,http://kayak.com/flights/EWR-TCI/2023-06-01/2023-06-07/
Bilbau,Espanha,2320.0,1181.37,SWISS,BIO,2023-06-13,2023-06-17,http://kayak.com/flights/EWR-BIO/2023-06-13/2023-06-17/
Gdansk,Polónia,2255.0,1012.2,Scandinavian Airlines,GDN,2023-06-11,2023-06-18,http://kayak.com/flights/EWR-GDN/2023-06-11/2023-06-18/
Santa Ana,Estados Unidos,782.0,405.07,Várias companhias aéreas,SNA,2023-06-09,2023-06-13,http://kayak.com/flights/EWR-SNA/2023-06-09/2023-06-13/
Montego Bay,Jamaica,243.0,351.5,United Airlines,MBJ,2023-06-02,2023-06-08,http://kayak.com/flights/EWR-MBJ/2023-06-02/2023-06-08/
Sófia,Bulgária,915.0,1255.62,Várias companhias aéreas,SOF,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-SOF/2023-06-01/2023-06-08/
Zagreb,Croácia,1810.0,1122.16,LOT,ZAG,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-ZAG/2023-06-06/2023-06-13/
St Louis,Estados Unidos,163.0,359.96,United Airlines,STL,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-STL/2023-06-01/2023-06-05/
Charleston,Estados Unidos,131.0,176.69,United Airlines,CHS,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-CHS/2023-06-17/2023-06-24/
Detroit,Estados Unidos,117.0,223.68,United Airlines,DTT,2023-06-04,2023-06-09,http://kayak.com/flights/EWR-DTT/2023-06-04/2023-06-09/
Columbus,Estados Unidos,226.0,322.37,United Airlines,CMH,2023-06-18,2023-06-23,http://kayak.com/flights/EWR-CMH/2023-06-18/2023-06-23/
Guaiaquil,Equador,1139.0,570.48,United Airlines,GYE,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-GYE/2023-06-08/2023-06-12/
Belgrado,Sérvia,1390.0,952.05,Várias companhias aéreas,BEG,2023-06-14,2023-06-20,http://kayak.com/flights/EWR-BEG/2023-06-14/2023-06-20/
Bari,Itália,1040.0,1707.68,Lufthansa,BRI,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-BRI/2023-06-10/2023-06-17/
Malé,Maldivas,2455.0,7994.2,United Airlines,MLE,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-MLE/2023-06-01/2023-06-08/
San Jose,Estados Unidos,1262.0,381.58,Spirit Airlines,SJC,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-SJC/2023-06-13/2023-06-20/
Cidade do Kansas,Estados Unidos,188.0,247.18,United Airlines,MCI,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-MCI/2023-06-21/2023-06-28/
Reiquiavique,Islândia,375.0,514.09,Icelandair,REK,2023-06-03,2023-06-09,http://kayak.com/flights/EWR-REK/2023-06-03/2023-06-09/
Nairobi,Quénia,1325.0,1226.48,British Airways,NBO,2023-06-06,2023-06-12,http://kayak.com/flights/EWR-NBO/2023-06-06/2023-06-12/
Tirana,Albânia,1326.0,1238.7,Várias companhias aéreas,TIA,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-TIA/2023-06-07/2023-06-14/
Antália,Turquia,1435.0,1258.44,Várias companhias aéreas,AYT,2023-06-22,2023-06-28,http://kayak.com/flights/EWR-AYT/2023-06-22/2023-06-28/
Salónica,Grécia,1860.0,1114.64,Austrian Airlines,SKG,2023-06-11,2023-06-17,http://kayak.com/flights/EWR-SKG/2023-06-11/2023-06-17/
Tóquio,Japão,965.0,1545.09,Várias companhias aéreas,HND,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-HND/2023-06-14/2023-06-21/
Granadilla de Abona,Espanha,1450.0,1211.45,Várias companhias aéreas,TFS,2023-06-01,2023-06-07,http://kayak.com/flights/EWR-TFS/2023-06-01/2023-06-07/
Katovice,Polónia,1995.0,1296.97,LOT,KTW,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-KTW/2023-06-08/2023-06-13/
Cali,Colômbia,955.0,406.01,Várias companhias aéreas,CLO,2023-06-07,2023-06-12,http://kayak.com/flights/EWR-CLO/2023-06-07/2023-06-12/
Ahmedabad,Índia,2590.0,1157.88,Várias companhias aéreas,AMD,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-AMD/2023-06-06/2023-06-13/
Vilnius,Lituânia,1660.0,946.41,Turkish Airlines,VNO,2023-06-13,2023-06-19,http://kayak.com/flights/EWR-VNO/2023-06-13/2023-06-19/
Reiquiavique,Islândia,375.0,514.09,Icelandair,KEF,2023-06-03,2023-06-09,http://kayak.com/flights/EWR-KEF/2023-06-03/2023-06-09/
Dubrovnik,Croácia,1735.0,1279.11,LOT,DBV,2023-06-24,2023-06-29,http://kayak.com/flights/EWR-DBV/2023-06-24/2023-06-29/
Lahore,Paquistão,1965.0,1351.48,Várias companhias aéreas,LHE,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-LHE/2023-06-17/2023-06-24/
Katmandu,Nepal,2435.0,2500.89,Singapore Airlines,KTM,2023-06-21,2023-06-26,http://kayak.com/flights/EWR-KTM/2023-06-21/2023-06-26/
Buenos Aires,Argentina,2483.0,924.8,LATAM Airlines,EZE,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-EZE/2023-06-01/2023-06-08/
Port Louis,Maurícia,3125.0,1808.24,SWISS,MRU,2023-06-23,2023-06-30,http://kayak.com/flights/EWR-MRU/2023-06-23/2023-06-30/
Cagliari,Itália,1035.0,1673.84,Várias companhias aéreas,CAG,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-CAG/2023-06-10/2023-06-17/
Daca,Bangladexe,2380.0,1747.15,Várias companhias aéreas,DAC,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-DAC/2023-06-17/2023-06-24/
Acra,Gana,1165.0,1256.56,British Airways,ACC,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-ACC/2023-06-08/2023-06-12/
Luxemburgo,Luxemburgo,1730.0,1110.88,LOT,LUX,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-LUX/2023-06-20/2023-06-27/
Bérgamo,Itália,2425.0,1733.05,Emirates,BGY,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-BGY/2023-06-05/2023-06-12/
Puerto Vallarta,México,374.0,537.59,United Airlines,PVR,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-PVR/2023-06-03/2023-06-10/
San José del Cabo,México,1430.0,639.09,Spirit Airlines,SJD,2023-06-18,2023-06-23,http://kayak.com/flights/EWR-SJD/2023-06-18/2023-06-23/
Sacramento,Estados Unidos,981.0,578.94,Spirit Airlines,SMF,2023-06-13,2023-06-17,http://kayak.com/flights/EWR-SMF/2023-06-13/2023-06-17/
Buffalo,Estados Unidos,83.0,228.38,United Airlines,BUF,2023-06-17,2023-06-21,http://kayak.com/flights/EWR-BUF/2023-06-17/2023-06-21/
Richmond,Estados Unidos,209.0,421.05,United Airlines,RIC,2023-06-21,2023-06-25,http://kayak.com/flights/EWR-RIC/2023-06-21/2023-06-25/
Kahului,Estados Unidos,892.0,731.19,United Airlines,OGG,2023-06-02,2023-06-08,http://kayak.com/flights/EWR-OGG/2023-06-02/2023-06-08/
Glasgow,Reino Unido,1647.0,832.69,American Airlines,GLA,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-GLA/2023-06-03/2023-06-10/
Basileia,Suíça,2175.0,941.71,Turkish Airlines,EAP,2023-06-13,2023-06-19,http://kayak.com/flights/EWR-EAP/2023-06-13/2023-06-19/
Oakland,Estados Unidos,372.0,310.15,Spirit Airlines,OAK,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-OAK/2023-06-05/2023-06-12/
Ontário,Estados Unidos,1216.0,437.03,Várias companhias aéreas,ONT,2023-06-07,2023-06-13,http://kayak.com/flights/EWR-ONT/2023-06-07/2023-06-13/
Milwaukee,Estados Unidos,879.0,416.35,Várias companhias aéreas,MKE,2023-06-21,2023-06-25,http://kayak.com/flights/EWR-MKE/2023-06-21/2023-06-25/
Recife,Brasil,1345.0,778.18,LATAM Airlines,REC,2023-06-14,2023-06-20,http://kayak.com/flights/EWR-REC/2023-06-14/2023-06-20/
Thera,Grécia,805.0,1143.78,British Airways,JTR,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-JTR/2023-06-10/2023-06-17/
Erevã,Arménia,2460.0,1235.88,Várias companhias aéreas,EVN,2023-06-22,2023-06-26,http://kayak.com/flights/EWR-EVN/2023-06-22/2023-06-26/
Riade,Arábia Saudita,1255.0,1271.59,Lufthansa,RUH,2023-06-01,2023-06-07,http://kayak.com/flights/EWR-RUH/2023-06-01/2023-06-07/
Turim,Itália,1295.0,1215.21,Várias companhias aéreas,TRN,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-TRN/2023-06-10/2023-06-17/
Bergen,Noruega,1430.0,960.51,Scandinavian Airlines,BGO,2023-06-20,2023-06-25,http://kayak.com/flights/EWR-BGO/2023-06-20/2023-06-25/
Anchorage,Estados Unidos,1716.0,743.41,Sun Country Air,ANC,2023-06-08,2023-06-14,http://kayak.com/flights/EWR-ANC/2023-06-08/2023-06-14/
Zanzibar,Tanzânia,2025.0,1451.1,Ethiopian Air,ZNZ,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-ZNZ/2023-06-01/2023-06-05/
Corfú,Grécia,2185.0,1487.76,Lufthansa,CFU,2023-06-22,2023-06-29,http://kayak.com/flights/EWR-CFU/2023-06-22/2023-06-29/
Salzburgo,Áustria,867.0,1354.3,Air Canada,SZG,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-SZG/2023-06-14/2023-06-21/
Reno,Estados Unidos,902.0,400.37,Spirit Airlines,RNO,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-RNO/2023-06-13/2023-06-20/
Oranjestad,Aruba,295.0,411.65,United Airlines,AUA,2023-06-04,2023-06-09,http://kayak.com/flights/EWR-AUA/2023-06-04/2023-06-09/
Savannah,Estados Unidos,139.0,179.51,United Airlines,SAV,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-SAV/2023-06-20/2023-06-27/
Myrtle Beach,Estados Unidos,436.0,246.24,Delta,MYR,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-MYR/2023-06-21/2023-06-28/
Syracuse,Estados Unidos,74.0,139.1,United Airlines,SYR,2023-06-21,2023-06-26,http://kayak.com/flights/EWR-SYR/2023-06-21/2023-06-26/
Montevidéu,Uruguai,921.0,1175.73,Copa Airlines,MVD,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-MVD/2023-06-13/2023-06-20/
Ottawa,Canadá,274.0,257.52,Porter Airlines,YOW,2023-06-22,2023-06-26,http://kayak.com/flights/EWR-YOW/2023-06-22/2023-06-26/
Tbilisi,Geórgia,1520.0,1020.66,Turkish Airlines,TBS,2023-06-13,2023-06-19,http://kayak.com/flights/EWR-TBS/2023-06-13/2023-06-19/
Xangai,China,1900.0,2153.16,Ethiopian Air,PVG,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-PVG/2023-06-17/2023-06-24/
Xangai,China,1900.0,2153.16,Ethiopian Air,SHA,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-SHA/2023-06-17/2023-06-24/
Basileia,Suíça,2175.0,941.71,Turkish Airlines,BSL,2023-06-13,2023-06-19,http://kayak.com/flights/EWR-BSL/2023-06-13/2023-06-19/
Nassau,Bahamas,193.0,343.04,United Airlines,NAS,2023-06-05,2023-06-09,http://kayak.com/flights/EWR-NAS/2023-06-05/2023-06-09/
Norfolk,Estados Unidos,104.0,139.1,United Airlines,ORF,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-ORF/2023-06-08/2023-06-12/
Londres,Reino Unido,2165.0,3603.31,Várias companhias aéreas,STN,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-STN/2023-06-14/2023-06-21/
Tamuning,Guam,1559.0,2151.28,United Airlines,GUM,2023-06-21,2023-06-27,http://kayak.com/flights/EWR-GUM/2023-06-21/2023-06-27/
Dakar,Senegal,1590.0,1266.9,TAP AIR PORTUGAL,DSS,2023-06-19,2023-06-25,http://kayak.com/flights/EWR-DSS/2023-06-19/2023-06-25/
Roterdão,Holanda,905.0,1670.08,British Airways,RTM,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-RTM/2023-06-17/2023-06-24/
Edmonton,Canadá,507.0,436.09,Air Canada,YEG,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-YEG/2023-06-01/2023-06-05/
Albuquerque,Estados Unidos,906.0,390.03,Spirit Airlines,ABQ,2023-06-07,2023-06-13,http://kayak.com/flights/EWR-ABQ/2023-06-07/2023-06-13/
Boise,Estados Unidos,735.0,542.29,Delta,BOI,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-BOI/2023-06-06/2023-06-13/
Omaha,Estados Unidos,423.0,363.72,Delta,OMA,2023-06-06,2023-06-11,http://kayak.com/flights/EWR-OMA/2023-06-06/2023-06-11/
Monterrei,México,1731.0,771.61,British Airways,MTY,2023-06-26,2023-06-30,http://kayak.com/flights/EWR-MTY/2023-06-26/2023-06-30/
Fortaleza,Brasil,2188.0,1152.24,LATAM Airlines,FOR,2023-06-21,2023-06-25,http://kayak.com/flights/EWR-FOR/2023-06-21/2023-06-25/
Bristol,Reino Unido,1040.0,904.12,Várias companhias aéreas,BRS,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-BRS/2023-06-14/2023-06-21/
Pisa,Itália,1320.0,1500.91,British Airways,PSA,2023-06-22,2023-06-29,http://kayak.com/flights/EWR-PSA/2023-06-22/2023-06-29/
Osaka,Japão,1160.0,2446.38,Várias companhias aéreas,OSA,2023-06-05,2023-06-09,http://kayak.com/flights/EWR-OSA/2023-06-05/2023-06-09/
Tucson,Estados Unidos,449.0,628.75,American Airlines,TUS,2023-06-18,2023-06-22,http://kayak.com/flights/EWR-TUS/2023-06-18/2023-06-22/
Memphis,Estados Unidos,171.0,374.06,United Airlines,MEM,2023-06-14,2023-06-18,http://kayak.com/flights/EWR-MEM/2023-06-14/2023-06-18/
Sarasota,Estados Unidos,172.0,186.09,United Airlines,SRQ,2023-06-12,2023-06-16,http://kayak.com/flights/EWR-SRQ/2023-06-12/2023-06-16/
Grand Rapids,Estados Unidos,135.0,501.87,United Airlines,GRR,2023-06-21,2023-06-26,http://kayak.com/flights/EWR-GRR/2023-06-21/2023-06-26/
Rochester,Estados Unidos,90.0,242.48,United Airlines,ROC,2023-06-03,2023-06-08,http://kayak.com/flights/EWR-ROC/2023-06-03/2023-06-08/
Olbia,Itália,885.0,937.96,Várias companhias aéreas,OLB,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-OLB/2023-06-10/2023-06-17/
Seul,Coreia do Sul,1535.0,2583.6,Várias companhias aéreas,GMP,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-GMP/2023-06-04/2023-06-11/
Ponta Delgada,Portugal,370.0,885.32,United Airlines,PDL,2023-06-22,2023-06-29,http://kayak.com/flights/EWR-PDL/2023-06-22/2023-06-29/
Milão,Itália,675.0,852.43,Air France,LIN,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-LIN/2023-06-04/2023-06-11/
Spokane,Estados Unidos,2254.0,530.07,American Airlines,GEG,2023-06-22,2023-06-27,http://kayak.com/flights/EWR-GEG/2023-06-22/2023-06-27/
Halifax,Canadá,380.0,258.46,Porter Airlines,YHZ,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-YHZ/2023-06-07/2023-06-14/
Portland,Estados Unidos,550.0,316.73,United Airlines,PWM,2023-06-18,2023-06-23,http://kayak.com/flights/EWR-PWM/2023-06-18/2023-06-23/
Providence,Estados Unidos,86.0,214.29,United Airlines,PVD,2023-06-07,2023-06-11,http://kayak.com/flights/EWR-PVD/2023-06-07/2023-06-11/
Londres,Reino Unido,1787.0,908.82,British Airways,LCY,2023-06-07,2023-06-11,http://kayak.com/flights/EWR-LCY/2023-06-07/2023-06-11/
Jacarta,Indonésia,2305.0,2922.88,Qantas Airways,JKT,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-JKT/2023-06-02/2023-06-06/
Rodes,Grécia,1320.0,1159.76,British Airways,RHO,2023-06-02,2023-06-08,http://kayak.com/flights/EWR-RHO/2023-06-02/2023-06-08/
Tânger,Marrocos,1650.0,922.92,Várias companhias aéreas,TNG,2023-06-12,2023-06-19,http://kayak.com/flights/EWR-TNG/2023-06-12/2023-06-19/
Leipzig,Alemanha,1020.0,1635.31,TAP AIR PORTUGAL,LEJ,2023-06-11,2023-06-16,http://kayak.com/flights/EWR-LEJ/2023-06-11/2023-06-16/
Bozeman,Estados Unidos,948.0,474.62,American Airlines,BZN,2023-06-03,2023-06-07,http://kayak.com/flights/EWR-BZN/2023-06-03/2023-06-07/
Winnipeg,Canadá,584.0,973.67,Delta,YWG,2023-06-17,2023-06-22,http://kayak.com/flights/EWR-YWG/2023-06-17/2023-06-22/
Burbank,Estados Unidos,935.0,531.01,Spirit Airlines,BUR,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-BUR/2023-06-02/2023-06-06/
Palm Springs,Estados Unidos,2174.0,661.65,Alaska Airlines,PSP,2023-06-09,2023-06-13,http://kayak.com/flights/EWR-PSP/2023-06-09/2023-06-13/
Oklahoma City,Estados Unidos,442.0,495.3,American Airlines,OKC,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-OKC/2023-06-15/2023-06-19/
Knoxville,Estados Unidos,286.0,323.31,American Airlines,TYS,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-TYS/2023-06-13/2023-06-20/
Louisville,Estados Unidos,145.0,465.22,United Airlines,SDF,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-SDF/2023-06-15/2023-06-19/
Kingston,Jamaica,606.0,484.96,Várias companhias aéreas,KIN,2023-06-03,2023-06-07,http://kayak.com/flights/EWR-KIN/2023-06-03/2023-06-07/
Pensacola,Estados Unidos,438.0,413.53,American Airlines,PNS,2023-06-13,2023-06-17,http://kayak.com/flights/EWR-PNS/2023-06-13/2023-06-17/
Rio de Janeiro,Brasil,1568.0,703.0,LATAM Airlines,GIG,2023-06-11,2023-06-18,http://kayak.com/flights/EWR-GIG/2023-06-11/2023-06-18/
Londres,Reino Unido,1095.0,730.25,Várias companhias aéreas,LTN,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-LTN/2023-06-06/2023-06-13/
Míconos,Grécia,1875.0,1170.09,British Airways,JMK,2023-06-04,2023-06-10,http://kayak.com/flights/EWR-JMK/2023-06-04/2023-06-10/
